itemTableID,questionID,description,Image URL
90203,2024-8M7 #2,Convert from kilometers to miles,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=BE67C98E-DA9A-4CD3-871F-34F4DE65B661
90207,2024-8M7 #6,Use proportional reasoning to find height,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=C63F4530-6B9C-4E5B-B128-3BDE186BE7F2
90209,2024-8M14 #2,Determine which equation matches the given description,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=7EF43D82-76D7-4EAB-9AAB-096CFA539F2E
90213,2024-8M14 #6,Use similarity to find the length of a side of a triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=C2E35BAB-B2A4-46BC-82E5-385F79C517E8
90214,2024-8M14 #7,Identify which number belongs in a sequence,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2E6DA9BD-8078-4331-BED0-0E0C7E7BF239
45609,2022-4M1 #1,Subtract decimal numbers,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3733E7F1-7E4B-4DA5-8AC5-7C08E78508BC
45614,2022-4M1 #6,Identify a line of symmetry in a given figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=77001807-4569-4D46-8C68-11B7C58885FC
45615,2022-4M1 #7,Determine a unit of measurement for a given scenario,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=DAFEDF6C-DF7D-4E08-BD8B-A528AEDB9E7F
45623,2022-4M1 #15,Select appropriate unit of measurement,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1F58AF9E-3727-4E70-A963-EC3BB883B35D
45629,2022-4M1 #21,Model a relationship using a number sentence,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1F5791EA-0051-420A-9683-02CCECBC1615
45633,2022-4M1 #25,Find total in a representation of money,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=110477CC-DFEA-4E0D-9ACE-223F27FED89A
45649,2022-8M1 #11,Determine which statistic a new data point does not affect,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=74DE2ED0-1799-4E90-8BC1-7F7085C6F210
45659,2022-8M1 #21,Determine a ratio from a story problem,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=DF3C6080-F1E3-4AAC-9FFD-36570588E5DB
45660,2022-8M1 #22,Subtract integers,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=B705B5DF-1D60-47BE-93DA-4426B1C190E3
45668,2022-8M1 #30,Identify an equation that models a given context,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1C9E0AB0-0C73-4289-8D90-2EB5FE778494
25189,2017-4M1 #5,Identifies a number pattern that follows a given rule,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6BEB19A3-F7AF-408F-92DA-B6719EA00E96
25198,2017-4M9 #1,Select an appropriate measurement tool for a given attribute (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=656C0CE7-906A-4347-9159-DF3FBE4AB785
25199,2017-4M9 #2, Identify the place value of a digit in a whole number (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=35788D04-B5E4-4921-AE1C-1451AE019FAB
25202,2017-4M9 #5,Solve a multi-step problem in context (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=DBA4C7E7-2C8D-4F83-B590-B0F00C956A0B
25203,2017-4M9 #6,Calculate the perimeter of a garden (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=B56A4B53-C742-4560-8B12-8EF6FA8020FF
25205,2017-4M9 #8,Identify the faces of a given solid (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9F13CE55-FE26-4086-A98F-415767D80F56
25206,2017-4M9 #9,Estimate the weight of an object (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=693F23E0-9960-4FE5-A753-D485C3CC7841
25207,2017-4M9 #10,Recognize a proportional relationship (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ABEF8007-DABA-41C0-8EE9-9E906F60C65E
25208,2017-4M9 #11,Recognize the attribute that changes from rearranging shapes (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=48FEE566-DF19-46EA-B95B-850610A74534
25210,2017-4M9 #13,Identify a rule for generating numbers in a pattern (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=BE493941-109A-45F9-96C3-BCF24EC30A28
25214,2017-8M3 #1,Translate a percent to a fraction in context,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=E64BA01F-3794-43F9-8255-6E9477F00286
25221,2017-8M3 #8,Identify a verbal description of a rotation of a figure in the xy-plane,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=E61C92C9-C5D1-4852-9AB8-9E31C5351F7E
25229,2017-8M9 #1,Select appropriate unit for measuring a particular attribute (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ED0F14B0-E8F5-40B1-9FC9-13F5C7984A96
25230,2017-8M9 #2,Use similarity to compute perimeter of a triangle (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2314C01D-AA20-4F7D-9E70-256CFFA22ECD
25231,2017-8M9 #3,Calculate the price of an item after a percent discount (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1644CCC2-CB8D-49D6-ACAF-A6B07A33F532
25233,2017-8M9 #5,Compare the means of two sets of data (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=D2286287-282A-4FC7-BB73-97F7350AC01D
25236,2017-8M9 #8,Calculate the volume of a cylinder (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4ED14477-45FE-4878-8A34-EBA57DABF5B0
25238,2017-8M9 #10,Use proportional reasoning to solve a problem in context (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=181A5F28-FE05-4B0D-BCDF-8E825D66A160
25239,2017-8M9 #11,Interpret the meaning of a linear equation in a context (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=F2E31A0D-1EBE-4E7E-94D1-B1A2089C2E66
25242,2017-8M9 #14,Use theoretical probability to predict an outcome (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=D7B5A182-E7A9-4EF1-84FA-42D84CFBFDDE
11643,2013-4M6 #13,Read temperature on thermometer,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d0d48e06-53fa-4390-9758-d6ca3221507d
11646,2013-4M6 #16,Determine specific term in a fraction pattern,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=31a72bd6-298e-4127-8037-dbd540cbb698
11616,2013-4M7 #1,Select unit for specific attribute,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c87a3118-bfd2-45af-a38c-a24545abca43
11617,2013-4M7 #2,Determine outcome with greatest probability using picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8f99ce0f-679c-47b6-9ba1-b5487feb34eb
11619,2013-4M7 #4,Divide 5-digit number by 2-digit number,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=302c4de0-00e4-4adf-b015-e5af67b30fe6
11621,2013-4M7 #6,Compare properties of simple figures,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a041c039-9271-4f4d-9cfc-c56ce42382e4
11624,2013-4M7 #9,Compute with data from graph to solve problem,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ba59d98d-235c-4812-a0fa-8dde9ffdcbc6
11625,2013-4M7 #10,Construct and identify shape on coordinate grid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1b7a869f-a2d5-4832-be11-0c321fc4bcc1
11627,2013-4M7 #12,Use ratio to describe situation in context,
11629,2013-4M7 #14,Determine which rectangular floor has greatest area,
11570,2013-8M3 #4,Find angle with specified degree measure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3086e035-3c74-4259-91f5-3418c3268872
11571,2013-8M3 #5,Solve a story problem using ratios,
11572,2013-8M3 #6,Find coordinate of point using midpoint,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6af15fd3-72eb-43b9-bf99-43b07271e151
11573,2013-8M3 #7,Use average (mean) to solve a problem,
11574,2013-8M3 #8,Identify graph representing a situation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8401b710-4f2b-4a32-880e-a0d0cb392454
11575,2013-8M3 #9,Interpret slope from verbal description,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a4de8ce2-6e7d-4534-b544-ecbba9d3e9a1
11576,2013-8M3 #10,Identify effect of outlier on statistics,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=e67863a3-1c4c-4765-b5fe-8d3db743d88e
11580,2013-8M3 #14,Use algebraic model to estimate height,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4fec746f-dadb-45a6-8cf5-4f5b513d4232
11552,2013-8M6 #2,Identify algebraic expression modeling a scenario,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9edffb66-c82f-4964-bdc2-3401b39d0fa1
11555,2013-8M6 #5,"Determine area of figure, given side length and perimeter",
11556,2013-8M6 #6,Identify collinear points,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=e448f4bd-696f-4c67-80de-42b4029867d3
11557,2013-8M6 #7,Determine shapes with equal perimeters,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1931164e-c461-48c6-8337-bb4dd436bb3a
11558,2013-8M6 #8,Approximate value on a number line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=850799ce-bc59-4f83-8e53-be9619e86599
11559,2013-8M6 #9,Identify properties of an isosceles triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b084114d-e3da-4658-9120-883ba586535c
11561,2013-8M6 #11,Determine the result of a rotation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f09663d1-4476-48ef-bd25-16d3b840d193
11562,2013-8M6 #12,Find the equation of a line from table of values,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4eb7b891-a508-4e80-aee8-4aeffe245652
11564,2013-8M6 #14,Determine coordinates to complete a trapezoid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2b379672-6754-4227-8785-0df72ca6f0df
11565,2013-8M6 #15,Solve a multi-step problem involving fractions,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=169cd208-5295-4957-bcb1-3d2ba8a85816
11535,2013-8M7 #1,Select appropriate unit given attribute,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a4ab3655-38ad-4e3b-8ea4-efc8f9bc4b65
11536,2013-8M7 #2,Find greatest number that can be bought,
11537,2013-8M7 #3,Find probability of event,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=41d2de39-5fde-4f20-9135-b557566795a0
11539,2013-8M7 #5,Solve a problem involving rates,
11540,2013-8M7 #6,Choose statement corresponding to expression,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=03fce096-feeb-43de-a1d9-74566124a3ea
11542,2013-8M7 #8,Determine percent tip on a bill,
11544,2013-8M7 #10,Solve an algebraic inequality,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=95ef0545-0442-44eb-9e0e-43c97aed36a3
11545,2013-8M7 #11,Identify properties of a line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=be676423-3e0e-4257-b7cf-327bdaed8062
11547,2013-8M7 #13,"Given a ratio, solve a problem",
11549,2013-8M7 #15,Analyze intersection of two shapes,
11749,2013-12M99 #8,Evaluate function at point,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=545b086c-520f-469c-bcef-9e090688785d
11750,2013-12M99 #9,Evaluate expression with fractional exponent,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=aa774eb7-7b0d-483a-91ea-c045e26d8b2c
10810,2011-4M8 #1,Compute value using multiplication and division (calculator available),
10811,2011-4M8 #2,Identify a figure that is not symmetric (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=431c87f7-1566-4f4d-b167-bf1e6947b998
10812,2011-4M8 #3,Identify appropriate unit for measuring length (calculator available),
10813,2011-4M8 #4,Solve a story problem involving division (calculator available),
10815,2011-4M8 #6,Identify the most likely outcome from a given spinner (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2e8c4b55-b04d-4faf-a4b2-598d749fec0d
10816,2011-4M8 #7,Solve a story problem involving multiplication (calculator available),
10817,2011-4M8 #8,Determine the sum of numbers represented on a number line (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=e1ff90fc-91d2-49dd-84a2-13c95cacd0d1
10823,2011-4M8 #14,Identify the growth relationship from a table (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ce647670-669f-4eb0-8028-32732450b1ef
10825,2011-4M8 #16,Identify best unit for measuring a liquid quantity (calculator available),
10827,2011-4M8 #18,Solve a story problem involving quarts and gallons (calculator available),
10851,2011-4M9 #5,Add 5-digit number and 6-digit number,
10852,2011-4M9 #6,Perform computations with data from table,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=55d5db59-63fa-440c-aa52-c884842605a6
10853,2011-4M9 #7,Find area of a square given perimeter,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b22d29e7-9e8c-4769-a750-465de9f87816
10854,2011-4M9 #8,Compute the difference of two 4-digit numbers,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f1b1ba90-b888-4be1-aa3e-e1d1567cc85f
10857,2011-4M9 #11,Estimate area of figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=e6519ae2-a16c-457a-bc0a-3cdfbc513541
10794,2011-4M12 #1,Identify the appropriate measuring device for a given attribute,
10795,2011-4M12 #2,Use estimation to compare quantities,
10796,2011-4M12 #3,Determine numerical value of an unknown quantity in a whole number sentence,
10798,2011-4M12 #5,Determine likelihood of an outcome,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=29844c31-962d-4901-8b99-9a9efd108595
10799,2011-4M12 #6,Multiply two 2-digit whole numbers,
10801,2011-4M12 #8,Find areas of a scale drawing on a grid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=708a7131-0dac-442c-89d9-9a06ced67dd7
10803,2011-4M12 #10,Identify factors of a number,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8760d497-e869-423c-961c-18a2ded2f021
10806,2011-4M12 #13,Solve story problem involving remainders,
10807,2011-4M12 #14,Use pattern to find number of edges,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4b0afc72-1f4c-4123-9445-9535610806d3
10808,2011-4M12 #15,Identify expression that models scenario,
10132,2011-8M8 #1,Translate from words to numbers (calculator available),
10133,2011-8M8 #2,Reflect a figure over a line (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3533b8e6-0a2a-44ab-ba7c-b6c76fdd922e
10134,2011-8M8 #3,Identify equation modeling a scenario (calculator available),
10135,2011-8M8 #4,Make an inference given a probability (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=0afe2857-88fe-4528-ae7c-c17a18b4e6a4
10136,2011-8M8 #5,Identify a non-equivalent equation (calculator available),
10139,2011-8M8 #8,Identify expression that represents odd integer (calculator available),
10141,2011-8M8 #10,Convert dollars to yen (calculator available),
10143,2011-8M8 #12,Evaluate equation for a given value in context (calculator available),
10145,2011-8M8 #14,Compare similar parallelograms (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=691aa4b3-2bd3-48df-8e77-850c36199834
10148,2011-8M9 #2,Determine how three lines are related (calculator available),
10149,2011-8M9 #3,Identify a graph that shows how speed changed (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=afb3ccaa-dd30-4d92-9927-96eeb9b64e1f
10150,2011-8M9 #4,Find wages earned (calculator available),
10152,2011-8M9 #6,Find how many 3-digit numbers can be written (calculator available),
10153,2011-8M9 #7,Identify net that folds into box (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6b0f1473-0f3f-4c0a-86bc-f84780c91134
10155,2011-8M9 #9,Find area of irregular-shaped region on a grid (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f7b0bd01-aef5-4fab-9e28-9fefb96652ef
10156,2011-8M9 #10,Identify equation modeling perimeter (calculator available),
10158,2011-8M9 #12,Determine radius of a circle inscribed in a square (calculator available),
10831,2011-8M12 #2,Recognize a unit of volume,
10832,2011-8M12 #3,Recognize a counterexample about prime numbers,
10834,2011-8M12 #5,Determine equation to model a situation,
10836,2011-8M12 #7,Determine equation of a line given a point and the slope,
10837,2011-8M12 #8,Determine coordinates after reflection,
10840,2011-8M12 #11,Convert between units of measurement,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b1241c51-7450-456d-9ddd-3ef7a3eb5ea5
10841,2011-8M12 #12,Find solution to equation,
10843,2011-8M12 #14,Determine number of edges in 3-D figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4ce5eb6a-6f74-47c5-a14e-dde6d010e49a
10844,2011-8M12 #15,Interpret a linear equation in context,
10845,2011-8M12 #16,Use experimental results to make prediction,
10846,2011-8M12 #17,Recognize effect of sign on operations,
6889,2009-4M5 #1,Determine how many given pieces cover a shape,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b197c4a2-3d92-4f40-a9e7-a4330096141c
6890,2009-4M5 #2,Recognize type of transformation from picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b197c4a2-3d92-4f40-a9e7-a4330096141c
6893,2009-4M5 #5,Identify given piece with angle greater than 90 degrees,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b197c4a2-3d92-4f40-a9e7-a4330096141c
6897,2009-4M5 #9,Use estimation to find a difference,
6898,2009-4M5 #10,Determine the probability of a particular outcome,
6901,2009-4M5 #13,Solve arithmetic problem involving time,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=01a451e9-2396-47e8-894e-d1798d0e938e
7342,2009-4M10 #1,Subtract two-digit number from three-digit number,
7343,2009-4M10 #2,Find value of unknown in number sentences,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=af74b174-f9ba-4641-8d00-a4e2750176b2
7344,2009-4M10 #3,Solve a story problem involving quarts and cups,
7346,2009-4M10 #5,Determine probability of a particular event,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2e420e77-f81d-46fe-96f9-a3d64b94d1d5
7347,2009-4M10 #6,Estimate a distance based on time,
7348,2009-4M10 #7,Identify the value of a point on a number line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f34634be-792b-4185-b7bb-bb0289f25c25
7349,2009-4M10 #8,Determine missing shapes in a pattern,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b4e9750c-0320-496b-b3f1-442e24840b02
7350,2009-4M10 #9,Identify figure with greatest area on a grid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2e22c9f9-d81f-4a09-91d2-173ae656a1db
7353,2009-4M10 #12,Divide a three-digit number by a one-digit number,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=52d642ae-d5ee-4bd6-a43d-b2c84a7a432d
7355,2009-4M10 #14,Estimate length of object by indirect measurement,
7356,2009-4M10 #15,Identify fraction closest to given value,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=29b9fc37-39e8-415d-8300-6ce8d53a8567
7361,2009-8M5 #3,Identify given piece with angle greater than 90 degrees,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=19370466-bf82-43cd-a1f6-6c6f3a613825
7362,2009-8M5 #4,Identify figures with equivalent areas,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=19370466-bf82-43cd-a1f6-6c6f3a613825
7363,2009-8M5 #5,Identify steps in a transformation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=19370466-bf82-43cd-a1f6-6c6f3a613825
7366,2009-8M5 #8,Use estimation to find a difference,
7367,2009-8M5 #9,Determine the probability of a particular outcome,
7368,2009-8M5 #10,Identify pictorial representation of equivalent fractions,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d57990e2-12bb-44b6-9a04-5350a14ee4d2
7370,2009-8M5 #12,Solve arithmetic problem involving time,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9a44e78e-9507-4985-b3db-ca43a0d573e8
7373,2009-8M5 #15,Find length of hypotenuse,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3dae05dd-e8fa-461b-bce9-598b4562fd05
7374,2009-8M5 #16,Identify operation resulting in odd integer,
6904,2009-8M10 #1,Identify equation equivalent to given equation,
6905,2009-8M10 #2,"Determine possible dimensions of rectangle, given area",
6906,2009-8M10 #3,Identify side with same length in congruent figures,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=07b81a8f-7920-4e84-a2ce-472d7b19ce98
6907,2009-8M10 #4,Identify number with digit in hundredths place,
6908,2009-8M10 #5,Determine a quantity based on given percent,
6909,2009-8M10 #6,Determine area of a right trapezoid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c0dcd792-3d40-4193-b608-e18b2c303b86
6910,2009-8M10 #7,Identify solution from graph of linear equations,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c5e97c67-2c77-46bd-8905-7e7129700bd0
6911,2009-8M10 #8,Represent length of rectangle in terms of width,
6913,2009-8M10 #10,Read and interpret information in a graph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=10fb1593-2895-4303-890a-a272137d9ac9
6914,2009-8M10 #11,Identify which statistic is represented by response,
6915,2009-8M10 #12,Determine degree measure formed by clock hands,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8f050812-825e-4188-a728-9c61a9570a3d
6917,2009-8M10 #14,Identify collinear point in coordinate plane,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d4bd6539-3150-409c-87a3-ea3782655965
6918,2009-8M10 #15,Identify piece used to form figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=e76a6a6e-42b3-41ee-b5b3-faf314ef2c82
10118,2009-12M2 #1,Multiply a 3-digit number by a decimal number,
10119,2009-12M2 #2,Find length of side in a 30-60-90 triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c4c36d42-8ffa-4eb1-84a1-6669b3a60295
10120,2009-12M2 #3,Identify linear equation that best fits data in a scatterplot,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9ec33e5f-2bff-4b0a-a1c6-f81e7a0df053
10122,2009-12M2 #5,Determine a nonequivalent expression,
10123,2009-12M2 #6,Compare units of volumes,
10125,2009-12M2 #8,Identify appropriate method for selecting random sample,
